,created_at,screen_name,location,text
22,2021-04-21 14:00:50,DB_Trophy,"England, United Kingdom","RT @Aston_Leeds: Drive your heart out with DB11

Test drives available now, follow the link in our bio to book yours.

#astonmartin #db11 #…"
23,2021-04-21 14:00:02,RankSuggest,Dublin Ireland,"This is cool. Isn't? Please like it, retweet and follow me. #cars #car #newcar https://t.co/uWWjEZSVEK"
24,2021-04-21 13:56:47,DVUyshxRoZIpdVm,,RT @HillCadillac: This is the 2021 Cadillac in Dark moon blue metallic. It’s a great Luxury Car with more room and third row. For more info…
25,2021-04-21 13:56:12,WLMGltd,"Middlesex, Berks and Bucks",The MG5 EV avaliable at your Wlmg MG Centre - For full details on this fantastic offer click the link below.… https://t.co/UNSQxcg4UL
26,2021-04-21 13:53:08,quanautos,"Lagos, Nigeria","RT @BuyLagosLtd: Asking Price: 8.5m (Slightly Negotiable)⠀
⠀
If interested, DM for Inspection or Call 07057192264 or Whatsapp; +23470843178…"
27,2021-04-21 13:39:25,carlease_uk,"Manchester, England ",andrew Mayne gave CarLease UK 5 stars via @Trustpilot https://t.co/vaKSJIkdcb #carleasing #newcar #customerservice
28,2021-04-21 13:37:55,BuyLagosLtd,"Lagos, Nigeria","Asking Price: 8.5m (Slightly Negotiable)⠀
⠀
If interested, DM for Inspection or Call 07057192264 or Whatsapp; +2347… https://t.co/8oeWMg66s1"
29,2021-04-21 13:35:07,carsforforces,United Kingdom,"🔥 HOT DEAL 🔥 save over £4,000 on a new Vauxhall Corsa Hatchback 1.2 Turbo SRI Premium 5dr 😍 find out more here… https://t.co/1AzAgkZTUr"
30,2021-04-21 13:11:00,GBSCars,Nottinghamshire,Visit our blog to see of what we are upto https://t.co/bK66Z9KAs0 #gbs  #gbszero #zero #handbuilt #newcar… https://t.co/L6RRDxPcmj
31,2021-04-21 12:53:40,btogirl,"Brick, NJ",NOW is a great time to BUY or LEASE a new or pre-owned CAR or TRUCK. See our AUTO DEALERS Directory.....… https://t.co/rhU6QlS1k7
32,2021-04-21 12:21:39,DCH_Nanuet,"Nanuet, NY",Nothing makes our Kevin Pingol happier than finding the right Honda for his customers! Thank you and congratulation… https://t.co/GKHc5SvJpN
33,2021-04-21 12:08:15,quanautos,"Lagos, Nigeria","RT @BuyLagosLtd: Asking Price: 19.5m (Slightly Negotiable)

If interested, DM for Inspection or Call 07057192264 or Whatsapp; +234708431784…"
34,2021-04-21 11:59:25,formtrends,Worldwide,There’s one element on the A6 E-Tron concept that doesn’t sit right with me. So I fixed it through some crude photo… https://t.co/8h28Sf4k99
35,2021-04-21 11:50:21,FordPawan,"Sector 63, Noida",Shree Pawan Ford Welcomes our valuable customer for purchasing a new Ford CAR &amp; Heartiest Congratulations on joinin… https://t.co/naAWfuSkLi
36,2021-04-21 11:50:19,FordPawan,"Sector 63, Noida",Shree Pawan Ford Welcomes our valuable customer for purchasing a new Ford CAR &amp; Heartiest Congratulations on joinin… https://t.co/9s4N3nFfFm
37,2021-04-21 11:26:00,NorthamptonMtrs,Northampton,"Stand out from the crowd with our All-New Mazda MX-30!

With a sleek exterior and interior design and a ultra smoot… https://t.co/NLaQzOmjR9"
38,2021-04-21 11:19:18,Dagold555,Nigeria,"RT @BuyLagosLtd: Asking Price: 27m (Slightly Negotiable)⠀
⠀
If interested, DM for Inspection or Call 07057192264 or Whatsapp; +234708431784…"
39,2021-04-21 11:14:38,FordPawan,"Sector 63, Noida",Shree Pawan Ford Welcomes our valuable customer for purchasing a new Ford CAR &amp; Heartiest Congratulations on joinin… https://t.co/T0T5A0xGR9
40,2021-04-21 11:12:20,FordPawan,"Sector 63, Noida",Shree Pawan Ford Welcomes our valuable customer for purchasing a new Ford CAR &amp; Heartiest Congratulations on joinin… https://t.co/Ky0xAT6myR
41,2021-04-21 11:11:44,BuyLagosLtd,"Lagos, Nigeria","Asking Price: 27m (Slightly Negotiable)⠀
⠀
If interested, DM for Inspection or Call 07057192264 or Whatsapp; +23470… https://t.co/iid5uO64Xy"
42,2021-04-21 11:00:11,FordPawan,"Sector 63, Noida",Shree Pawan Ford Welcomes our valuable customer for purchasing a new Ford CAR &amp; Heartiest Congratulations on joinin… https://t.co/Wx7MdDIrXM
43,2021-04-21 10:09:39,Cheerfulanne,"Orange County, CA","Got my new (used) car today. So excited, glad I made this decision. #vroom #inkedandfinanced #focus #newcar… https://t.co/fkrojrFB8A"
44,2021-04-21 09:30:51,Aston_Leeds,Leeds,"Drive your heart out with DB11

Test drives available now, follow the link in our bio to book yours.

#astonmartin… https://t.co/OD0g24DbSH"
45,2021-04-21 09:25:48,KeyWorkerCarLe1,Preston,Wishing Her Majesty a happy 95th birthday. And if it's your birthday then why not hop on over to our site and see w… https://t.co/Ai04TQbkj7
46,2021-04-21 09:05:41,BuyLagosLtd,"Lagos, Nigeria","Asking Price: 19.5m (Slightly Negotiable)

If interested, DM for Inspection or Call 07057192264 or Whatsapp; +23470… https://t.co/bJSs4bMVLn"
47,2021-04-21 09:00:43,mini_bridgwater,"South West, England","Want to find out more about the #MINI #Electric?

Visit https://t.co/j1hqPLdKJa, call us on 01278 429123 or email m… https://t.co/j4MCYMEsCK"
48,2021-04-21 08:36:28,clairbearclair,,"So, it’s really happening. #newcar"
49,2021-04-21 08:34:00,GBSCars,Nottinghamshire,Contact us today to book your appointment to see the Zeros.... More details can be found on our website… https://t.co/9YwMDnMS1b
50,2021-04-21 08:11:55,GlassGuide,HQ: London. Reach: UK wide,"#Registrations in Europe’s biggest markets saw improvements in March 2021 - But, all is not as it seems 

Daily Bri… https://t.co/q6Rwg7JzRg"
51,2021-04-21 08:01:00,MoveCarLeasing,United Kingdom,"☀️Enjoy the sunshine even more in the new MINI Convertible from MVL today 

https://t.co/sThBp4dj3Y

#MVL… https://t.co/Bizajyj3Iq"
52,2021-04-21 08:00:37,carchaseheroes,,"We're very excited to add this stunning Corvette ZL1 to the fleet! With 755bhp generated by a 6.2L supercharged V8,… https://t.co/bL9w5RljTQ"
53,2021-04-21 08:00:02,RankSuggest,Dublin Ireland,What do you think about this car. Please like it and follow me. #cars #car #newcar https://t.co/4y7ctSTEmv
54,2021-04-21 07:47:50,DroneCover,,"#DYK that all DCC Members and their family are entitled to a great deal on their new car, truck or van thanks to ou… https://t.co/4T1llS6Nmh"
55,2021-04-21 06:36:05,digital_saba,,Maruti Suzuki is all set to launch it's new car by December 2021. Get ready to experience the New way of Life!… https://t.co/eLC2p8UklF
56,2021-04-21 06:00:02,RankSuggest,Dublin Ireland,"See this cool car. Please like it, retweet and follow me. #cars #car #newcar https://t.co/2eFPkskUsF"
57,2021-04-21 05:43:00,KothariHyundai1,Pune,"May this holy occasion of Ram Navami bring lot of positivity, harmony and peace in your life. Happy Ram Navami!… https://t.co/e9O9QfH2iE"
58,2021-04-21 05:05:25,CorkBizPatrick,"Cork, Ireland","RT @IrishESRPC: Ashbourne Gardaí stopped this car after it flagged on #ActiveMobility for no tax. Vehicle seized. 

#IESRPC #NewCar #Rolepl…"
59,2021-04-21 04:00:01,RankSuggest,Dublin Ireland,"See this cool car. Please like it, retweet and follow me. #cars #car #newcar https://t.co/uDxD71lM52"
60,2021-04-21 03:58:05,Espirit_Toyota,Mathura Road| Noida| G.Noida ,Make Summer Great Again in this April with Cool offers &amp; best EMI available on your favorite Toyota Glanza car at E… https://t.co/blxW0vDs6S
61,2021-04-21 02:38:41,oxywheels,Hyderabad,"May the divine grace of Lord Rama always be with you. Wish you a very happy and prosperous #RamNavami.
Visit:… https://t.co/CZ9aEMT3VP"
62,2021-04-21 02:00:02,RankSuggest,Dublin Ireland,"This is cool. Isn't? Please like it, retweet and follow me. #cars #car #newcar https://t.co/5xSOYxgMN9"
63,2021-04-21 01:28:16,MetroAcuraCA,"Montclair, CA","Metro Acura is happy to get the job done for you! Get your Acura serviced with us. 

Ⓜ️https://t.co/m22LrAyabgⓂ️… https://t.co/jQF0uuka9f"
64,2021-04-21 01:20:31,cwillits30,"Phoenix, AZ",I’m the proud owner of a Hyundai Kona! #hyundai #kona #hyundaikona #arizona #phoenix #newcar #420 @ Chapman Hyundai… https://t.co/PQVWcnqEHt
65,2021-04-21 00:10:02,ricklondon,Usually in the forest,#Pee In The #Cars by @LTCartoons #carsales #usedcars #newcar #authodealership #funny #humor #cartoon #comic https://t.co/yMkrjp4oPb
66,2021-04-21 00:00:02,RankSuggest,Dublin Ireland,What do you think about this car. Please like it and follow me. #cars #car #newcar https://t.co/qbFPyIDFf1
67,2021-04-20 23:59:24,CarGeeks_,"Glendale, ca",We got plenty of amazing deals happening. Contact us today 818-946-2272 #chooseCarGeeks #newcar
68,2021-04-20 23:53:02,CostcoAuto,All Around!,Figure out what kind of car is right for you. https://t.co/fBLaEitzKI via Side Car #cartips #newcar https://t.co/Copjy2LG8c
69,2021-04-20 23:05:01,SCCFCU,"San Jose, CA","See if you can score some savings on your Auto Loan!  Check out our new, lower auto loan refinance rates today! … https://t.co/EpdoBmvvv1"
70,2021-04-20 22:56:24,AnnaPetrillo10,"New York, USA","RT @IrishESRPC: Ashbourne Gardaí stopped this car after it flagged on #ActiveMobility for no tax. Vehicle seized. 

#IESRPC #NewCar #Rolepl…"
71,2021-04-20 22:53:45,FunSubstance,World Wide Web,"I got a new car :)

https://t.co/C1X5ygjhIG

#FunSubstance #Fun2021 #Fun #FunSubstance2021 #Funny #SignUp #Social… https://t.co/vmHIr7TNTh"
72,2021-04-20 22:51:02,IrishESRPC,"Cork, Ireland","Ashbourne Gardaí stopped this car after it flagged on #ActiveMobility for no tax. Vehicle seized. 

#IESRPC #NewCar… https://t.co/5nq2hjq7Nq"
73,2021-04-20 21:47:18,LexusofOxnard,"Oxnard, CA","Thank You For Your Business!

Congratulations to the Duarte family on your purchase of #Lexus #IS300. Welcome to… https://t.co/L9xkJ24TrJ"
74,2021-04-20 21:30:13,CambridgeToyota,2400 Eagle Street North N3H4R7,"Go off the beaten path!  Available in 4 wheel drive.
RAV4 from $28,590 * 
 
* plus freight and taxes

#toyota… https://t.co/j84tdwfix7"
75,2021-04-20 20:00:38,kimwright741,Derbyshire,New car is on the drive. Love it but I think it going to take me weeks to fathom out what everything does. No idea… https://t.co/672kA6pyEG
76,2021-04-20 20:00:31,autodigg,"Austin, TX","Oh beautiful - Maserati Levante Hybrid SUV---https://t.co/7h3UiwtcMX
#Maserati #Levante #Hybrid #SUV #localbusiness… https://t.co/tFpGxErFUG"
77,2021-04-20 19:45:21,CryslrJeepDodge,"Bayside, New York",Call our team at 718-229-8700 to set up an appointment or start the car buying process online at… https://t.co/6CYuJHbdh3
78,2021-04-20 19:30:30,BeckInsurance,"Serving Ohio, IN, MI, TN, GA, & FL","Did you get a #TaxRefund? How are you spending it this year? 
#NewCar #NewHouse #NewRV https://t.co/6dZE0xaBwr"
79,2021-04-20 19:00:02,RankSuggest,Dublin Ireland,"If you did not see this, you did not see anything. Please like it, retweet and follow me. #cars #car #newcar https://t.co/2mMuFLKxHj"
80,2021-04-20 18:45:04,Carsforsalecom,,"That #NEWCAR feeling! ❤️ View Hyundai Tucson listings near you at https://t.co/97a4WcA2Fk!

IG:… https://t.co/ZElSyp8Acr"
81,2021-04-20 18:34:02,FaolainLuke,Dublin,"Goodbye boring hatchback.

Hello pretty coupe ☺️

#Newcar https://t.co/vHWcQLGnt0"
82,2021-04-20 18:25:03,LexusSouthfield,Detroit,"When it comes to your Lexus, it’s ok to show off a little. Congratulations again Pamela on your 2017 RC 300!… https://t.co/4gpfqbkUNN"
83,2021-04-20 18:09:00,GBSCars,Nottinghamshire,"The Zero range is available in LHD, see more details and options on our website https://t.co/upQ7i8po34 #gbs… https://t.co/3nsBeybZLq"
84,2021-04-20 18:03:24,NismoZ6,,RT @RankSuggest: Did you like this car? Please retweet and follow me. #cars #car #newcar https://t.co/fmER7ibBWq
85,2021-04-20 18:01:10,DDAutosBromley,"27 Hayes Lane Bromley, Kent",Some great #newcar deals to be had in post-lockdown...could this be the best time to buy a car? 🤔… https://t.co/A5fdkIwgOe
86,2021-04-20 18:00:47,LostPinesToyota,"Bastrop, TX",Keep the new car feeling for as long as your heart desires. Shop #WeatherTech accessories at Lost Pines Toyota toda… https://t.co/ysVczK3ij9
87,2021-04-20 18:00:02,RankSuggest,Dublin Ireland,Did you like this car? Please retweet and follow me. #cars #car #newcar https://t.co/fmER7ibBWq
88,2021-04-20 17:45:00,AskKarBro,,Watch the ‘Welcome to The ASK KAR BRO Page’ video https://t.co/UyZGd4prUg #AskKarBro #Purpose #PurposeDrivenLife… https://t.co/2eL39v9bwg
89,2021-04-20 17:44:40,thebrinksco,,The Brinks #CreditTip! #credit #myfico #experience #experian #creditscore #850strong #equifax #creditkarma… https://t.co/QRqcW74cDb
90,2021-04-20 17:41:16,davidtitchm,Stratford upon Avon,"RT @ArdenGarages: Are you ready to get behind the wheel of a new or used Ford?

Find out more about all our great deals by visiting us in t…"
91,2021-04-20 17:37:54,leaseacardirect,,Everything we do is designed to make your car buying experience as easy and enjoyable as possible. Competitive pric… https://t.co/m7UBNqJiFN
92,2021-04-20 17:35:23,LimeGreenCars,United Kingdom,"***YET ANOTHER DELIVERY!*** 
Lime Green Cars has just supplied and delivered this new Volvo XC40 R-Design.  

Inter… https://t.co/5UrB7DsOKT"
93,2021-04-20 17:32:17,hughesins123,"Glendale, NY","Getting a #NewCar with your tax refund? 

We can help you get it insured, for a perfect price!… https://t.co/N0nr1oQS8v"
94,2021-04-20 17:30:38,mini_bridgwater,"South West, England",#ZestyYellow has arrived at #MINIBridgwater! Want to know more about the #MINICabriolet? #Getintouch with us today!… https://t.co/R5MwkEX69y
95,2021-04-20 17:27:54,findmyauto,Canada,"For an unforgettable performance and impression, bring home a new car. Incorporated with technology and prime featu… https://t.co/t4c3G2P7cz"
96,2021-04-20 17:10:03,dtxtroywarren,"Detroit, MI",#JustForFun What #NEWCAR blew your mind when you were a kid? RT with your comment. #allaboutcars #ilovemycar… https://t.co/ZFEcdJTTqN
97,2021-04-20 17:03:54,Cars2vans,Salford,"🔥HOT DEAL🔥
MERCEDES-BENZ GLA 250e 1.3PiH 218 Exclusive Edition DCT From £263
Stock Metallic 21 Reg
Road Tax Warrant… https://t.co/8NBU9DjriO"
98,2021-04-20 17:00:01,RankSuggest,Dublin Ireland,"This is cool. Isn't? Please like it, retweet and follow me. #cars #car #newcar https://t.co/PreNGU2yEm"
99,2021-04-20 16:37:41,dayagnik,USA,"RT @autodigg: Are EV Trucks Ready For Texas (As Of April 2021)? https://t.co/M9zyl6EsmM
Follow us for exclusive deals, car buying discounts…"
100,2021-04-20 16:14:52,houston_direct,"Houston, TX","""Do hard work in silence and let your new car make some noise."" - Isaias Mazariego Sales Representative… https://t.co/PO0vAxeIvM"
101,2021-04-20 16:02:16,509autosales,"Kennewick, WA","Anything you want and need, we have it! 😉

💻https://t.co/arLCwVlbEV
📱(509) 731-3766

#dealership #cars #newcar #car… https://t.co/ekParcTYlA"
102,2021-04-20 16:00:02,RankSuggest,Dublin Ireland,Did you like this car? Please retweet and follow me. #cars #car #newcar https://t.co/1CX5SxBldC
103,2021-04-20 15:23:31,DNLPlantEquip,stoke-on-trent/swansea,RT @mjscarsales: Always nice when you sell a car to a previous customer &amp; this one is no exception as we first sold a car to this gentleman…
104,2021-04-20 15:15:04,SaveOnSahara,Las Vegas,"2021 Dodge Charger SXT
Must See : Click Here : https://t.co/T9mkLAga4q
#lasvegas #vegas #sales #nevada #newcar… https://t.co/MmJBhCDNMu"
105,2021-04-20 15:13:15,bulldogkia,Athens GA,Congratulations to these wonderful customers who recently purchased a vehicle from Bulldog Kia! Thank you for your… https://t.co/hzljC73ykM
106,2021-04-20 15:12:36,bulldogkia,Athens GA,Congratulations to these wonderful customers who recently purchased a vehicle from Bulldog Kia! Thank you for your… https://t.co/c52fW8ZUbj
107,2021-04-20 15:10:03,DetailXPerts,"Detroit, Michigan",#JustForFun What #NEWCAR blew your mind when you were a kid? RT with your comment.  #allaboutcars #ilovemycar… https://t.co/XQPr2IrEtN
108,2021-04-20 15:01:13,HondaUniverse,"1085 Ocean Ave,  Lakewood, NJ","Shop for your next #Honda during the Honda Dream Garage Spring Event!
.
.
.
#HondaUniverse #Honda… https://t.co/yyNOu0Qar3"
109,2021-04-20 15:00:11,autodigg,"Austin, TX","Honda's coolest little EVs https://t.co/yJIEpl4WfF
#Honda #hatchback #EVs #ElectricVehicles #prototype… https://t.co/QkaQdVxkQP"
110,2021-04-20 14:58:48,ToyotaUttam,Delhi/NCR,Uttam Toyota brings to you 'Memorable March' with exciting offers and amazing benefits on new Toyota cars. Bring ho… https://t.co/NShsjhrQt4
111,2021-04-20 14:55:24,DCHGardenaHonda,"Gardena, CA",Ready to trade in your vehicle? We can get you started right from the comfort of your own home.… https://t.co/XnF5f4Tpj5
112,2021-04-20 14:52:20,CambridgeToyota,2400 Eagle Street North N3H4R7,"Go off the beaten path!  Available in 4 wheel drive.
Starting from 

 RAV4 $28,590 * 
 * plus freight and taxes… https://t.co/bC5688IbxU"
113,2021-04-20 14:30:00,CPOUSED_com,"Austin, TX",We've got your cute-utes! This 2016 Audi Q3 Prestige just added to https://t.co/f4n8AqB7tX! #newcar #usedcar… https://t.co/uwQlCCg6xd
114,2021-04-20 14:24:53,SMC_Ford,Slough • Uxbridge • North Kent,"RT @AllenFordUK: ✨Don't miss this opportunity to SAVE £££ on a NEW or USED car using your VIP event promo code ""VIP2021""!✨ 🚗Buy online with…"
115,2021-04-20 14:23:00,NorthamptonMtrs,Northampton,"We were lucky enough to get our hands on 11 beautiful, brand new Mazda's yesterday! 🤩 

If you are in the market fo… https://t.co/0KvU9E7eUf"
116,2021-04-20 14:22:48,EssexAutoGroup,"Essex, UK","✨Don't miss this opportunity to SAVE £££ on a NEW or USED car using your VIP event promo code ""VIP2021""!✨ 🚗Buy onli… https://t.co/SweREK0gSU"
117,2021-04-20 14:21:35,Essex_Ford,"Essex, UK","RT @AllenFordUK: ✨Don't miss this opportunity to SAVE £££ on a NEW or USED car using your VIP event promo code ""VIP2021""!✨ 🚗Buy online with…"
118,2021-04-20 14:21:16,allenfordessex,"Brentwood, Upminster & Romford","RT @AllenFordUK: ✨Don't miss this opportunity to SAVE £££ on a NEW or USED car using your VIP event promo code ""VIP2021""!✨ 🚗Buy online with…"
119,2021-04-20 14:19:26,AllenFordUK,South of England/West Midlands,"✨Don't miss this opportunity to SAVE £££ on a NEW or USED car using your VIP event promo code ""VIP2021""!✨ 🚗Buy onli… https://t.co/A45izqHB7z"
120,2021-04-20 14:18:56,mjscarsales,"Stoke-on-Trent, England",Always nice when you sell a car to a previous customer &amp; this one is no exception as we first sold a car to this ge… https://t.co/UcRNHzjRMT
121,2021-04-20 14:15:07,NavigatorCU,Mississippi Gulf Coast,Drive off with a great rate with an auto loan from Navigator. Learn more and apply today: https://t.co/XUJipNbU2E.… https://t.co/zXpCJfv0Ev
122,2021-04-20 14:09:43,motornewsonline,UK,New Audi A6 e-tron - you can play video games using its headlights!?! https://t.co/nCtLpCNjGP : #Video #Audi… https://t.co/qdHJlYB2GM
123,2021-04-20 14:01:28,YorkdaleToyota,"Toronto, Ontario",💰 SAVE NOW: Red Tag Days are here again! 💰 You get to save BIG!  ⬆️ Level up ⬆️  for your next vehicle now at Yorkd… https://t.co/4gafjP4mbk
124,2021-04-20 14:00:05,RankSuggest,Dublin Ireland,"This is one of my favourites. Please like it, retweet and follow me. #cars #car #newcar https://t.co/inmR0Kcha5"
125,2021-04-20 13:53:01,ToyotaRockwall,"Rockwall, TX","We truly appreciate every customer that walks through our doors, and when we have the opportunity to send someone o… https://t.co/kYobnn0lpM"
126,2021-04-20 13:31:00,KitSpares,Nottinghamshire,More GRP Seats have just been delivered.... https://t.co/tv1xWUC6GA #seats #interior #sportscars #bespoke #newcar https://t.co/DMsnEfiktB
127,2021-04-20 13:20:06,fleetevolution,"Tamworth, UK","Looking into getting a new car? What do people usually look for? 🤔⚡

https://t.co/ewovy20WIO

#EV #Green #Car #NewCar"
128,2021-04-20 13:11:15,AcornCF,"Northampton, England","🚗 Car registrations are up on last year so good news for the automotive industry.
If you're looking at changing you… https://t.co/sAZd2MemB3"
129,2021-04-20 12:21:31,ToadBoiGaming1,,Which new car should I buy? I've been saving for some time now and am ready to upgrade my ford fiesta.   #car #cars #newcar #questions
130,2021-04-20 12:15:30,JohnEagle_Acura,,"Day or night, it's always the right time for a new Acura experience. Thank you to our new drivers. We know you'll e… https://t.co/YRAfJC9qWi"
131,2021-04-20 12:02:04,MoveCarLeasing,United Kingdom,"Get your new VOLVO XC40 from MVL today

https://t.co/74grFxSEyw

#MVL #movevehicleleasing #carleasing #Volvo… https://t.co/gjJohlhpow"
132,2021-04-20 12:02:01,SinclairAudi,Bridgend | Swansea | Neyland,"Style. Agility. Intelligent. The Q3 Sportback has it all, plus get 3 months on us*. Learn more:… https://t.co/QbnEeQDipm"
133,2021-04-20 12:00:02,RankSuggest,Dublin Ireland,"If you did not see this, you did not see anything. Please like it, retweet and follow me. #cars #car #newcar https://t.co/QYnsLSYMNc"
134,2021-04-20 11:32:15,DCH_Nanuet,"Nanuet, NY","At Honda of Nanuet, we strive to provide the best possible car-buying experience. From Tony and the entire team, we… https://t.co/zdnJlkTxCc"
135,2021-04-20 11:25:40,PorscheLeeds,"Leeds, England","RT @york_porsche: How would you spec yours? 

We are big fans of the newly released Shark Blue. 

Visit https://t.co/WIQNLf7xnh to choose y…"
136,2021-04-20 11:23:33,york_porsche,"York, England","How would you spec yours? 

We are big fans of the newly released Shark Blue. 

Visit https://t.co/WIQNLf7xnh to ch… https://t.co/p3Kqrlybn1"
137,2021-04-20 10:51:47,premiercarlease,,"Hyundai Santa FE Hybrid - From Only £258.00 + VAT
#carleasingdeals #Newhyundaisantafe #hyundaileasing… https://t.co/jiR2m85RLM"
138,2021-04-20 10:37:35,Japaneseboys2,,"RT @AutosMade: Does Anyone know the Toyota released a new EV-Sedan ?

2021 Toyota Mirai and the car is compressed with lot of technological…"
139,2021-04-20 10:32:21,DavidFr14638647,,"RT @AutosMade: Does Anyone know the Toyota released a new EV-Sedan ?

2021 Toyota Mirai and the car is compressed with lot of technological…"
140,2021-04-20 10:25:32,Kingtwe77916324,,"RT @AutosMade: Does Anyone know the Toyota released a new EV-Sedan ?

2021 Toyota Mirai and the car is compressed with lot of technological…"
141,2021-04-20 10:19:02,Justalil7,,"RT @AutosMade: Does Anyone know the Toyota released a new EV-Sedan ?

2021 Toyota Mirai and the car is compressed with lot of technological…"
142,2021-04-20 10:13:54,Xavier67802008,,"RT @AutosMade: Does Anyone know the Toyota released a new EV-Sedan ?

2021 Toyota Mirai and the car is compressed with lot of technological…"
143,2021-04-20 10:06:17,AkARom2,,"RT @AutosMade: Does Anyone know the Toyota released a new EV-Sedan ?

2021 Toyota Mirai and the car is compressed with lot of technological…"
144,2021-04-20 10:00:49,JohnMic57500182,,"RT @AutosMade: Does Anyone know the Toyota released a new EV-Sedan ?

2021 Toyota Mirai and the car is compressed with lot of technological…"
145,2021-04-20 09:58:28,masters_group,"London, England","It's a happy handover day for our customer as she collects her new Kia Picanto from our Sales Executive, Graham at,… https://t.co/brLwKk5hwj"
